rho,number of servers,number of customers,mean waiting time
0.9,1,40000,0.988160036068024
0.9,1,50000,0.8846684352600325
0.9,1,60000,0.7985207770377525
0.9,1,70000,0.7436613833538046
0.9,1,80000,0.6955290452016134
0.9,1,90000,0.6521671848842432
0.9,1,100000,0.6056665652536725
0.9,2,100,1.5753668364298468
0.9,2,200,2.0501376993362666
0.9,2,300,2.268392697368158
0.9,2,400,2.2999346008810546
0.9,2,500,2.2771271279347167
0.9,2,600,2.288330552537708
0.9,2,700,2.2842482911033044
0.9,2,800,2.257006352291405
0.9,2,900,2.2617801461267013
0.9,2,1000,2.259258347098353
0.9,2,2000,1.9266458753992661
0.9,2,3000,1.4435692961740891
0.9,2,4000,1.2213905877393683
0.9,2,5000,1.1340522743197854
0.9,2,6000,1.0794234696821912
0.9,2,7000,1.0146715487890179
0.9,2,8000,0.9580415631827803
0.9,2,9000,0.9108890936594927
0.9,2,10000,0.8679874541314834
0.9,2,20000,0.662101681249231
0.9,2,30000,0.562073398059165
0.9,2,40000,0.4795400706811032
0.9,2,50000,0.4330410066094589
0.9,2,60000,0.3983774413954431
0.9,2,70000,0.3662796210397669
0.9,2,80000,0.3355258372025683
0.9,2,90000,0.31885944363763746
0.9,2,100000,0.2976056221034788
0.9,4,100,0.7700315882804009
0.9,4,200,0.9842552729108106
0.9,4,300,1.1058729638276845
0.9,4,400,1.1875245350769494
0.9,4,500,1.2299774896142823
0.9,4,600,1.2233773094511666
0.9,4,700,1.236885098289258
0.9,4,800,1.225674333806817
0.9,4,900,1.1809049324176317
0.9,4,1000,1.1413779809574685
0.9,4,2000,0.9805163110416965
0.9,4,3000,0.8542340145255909
